,Date,Résidus
3279,2021-04-23,-2629.7765820362765
3280,2021-04-24,-2508.8619850689865
3281,2021-04-25,-2828.035636981258
3282,2021-04-26,-2137.6451722057973
3283,2021-04-27,-2336.7665363494452
3284,2021-04-28,-1300.1900821928066
3285,2021-04-29,421.25393719321437
3286,2021-04-30,1441.161287089948
3287,2021-05-01,1542.46518665857
3288,2021-05-02,3204.6706460005444
3289,2021-05-03,3654.1548981222295
3290,2021-05-04,2214.598578668185
3291,2021-05-05,2122.0019626985813
3292,2021-05-06,5027.361541553313
3293,2021-05-07,3948.1377321593027
3294,2021-05-08,2522.1678095131138
3295,2021-05-09,-929.0985651731971
3296,2021-05-10,-280.2980371236554
3297,2021-05-11,454.2781739873026
3298,2021-05-12,600.7007349633786
3299,2021-05-13,-3821.9213304716104
3300,2021-05-14,-354.9733693150556
3301,2021-05-15,3953.5770682864677
3302,2021-05-16,3881.4146693767107
3303,2021-05-17,4007.1762623655377
3304,2021-05-18,3186.8808404134543
3305,2021-05-19,3586.944020602772
3306,2021-05-20,2998.8522339817573
3307,2021-05-21,3445.627455535672
3308,2021-05-22,4041.7365860434875
3309,2021-05-23,3384.3228839072835
3310,2021-05-24,-1135.4973397249414
3311,2021-05-25,3810.791916631766
3312,2021-05-26,4191.117266613139
3313,2021-05-27,2065.486463489433
3314,2021-05-28,826.4493697209036
3315,2021-05-29,721.0035086739736
3316,2021-05-30,-507.17837471392704
3317,2021-05-31,-764.455501943914
3318,2021-06-01,-766.7962892710784
3319,2021-06-02,79.22875454024324
3320,2021-06-03,218.11381127846107
3321,2021-06-04,739.8750818587432
3322,2021-06-05,181.95282805907482
3323,2021-06-06,-253.5644191700485
3324,2021-06-07,-288.6502169619198
3325,2021-06-08,-550.9204008347006
3326,2021-06-09,-48.62871453312255
3327,2021-06-10,-323.00250820040674
3328,2021-06-11,783.212378923432
3329,2021-06-12,523.6517360471698
3330,2021-06-13,39.5555670306494
3331,2021-06-14,1011.0564258714221
3332,2021-06-15,1148.5982444334586
3333,2021-06-16,2062.9400539458875
3334,2021-06-17,715.8199770327701
3335,2021-06-18,461.41037710937235
3336,2021-06-19,510.21835040391306
3337,2021-06-20,-1191.6909730434418
3338,2021-06-21,-854.4050433740558
